http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=42,Sterne caspienne,S1,G5,"menacée, octobre 2009"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=43,Sterne de Dougall,S1,G4,"menacée, octobre 2009"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=45,Troglodyte à bec court,S2,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=46,Baleine noire,S1,G1,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=47,Belette pygmée,S3S4,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=48,"Béluga, population de l'est de la baie d'Hudson",S2,G4T3Q,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=49,"Béluga, population de la baie d'Ungava",S1,G4T2Q,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=50,Campagnol des rochers,S3,G4,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=51,Campagnol-lemming de Cooper,S3,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=52,Campagnol sylvestre,S3,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=53,"Caribou des bois, écotype forestier",S2S3,G5TNR,"vulnérable, mars 2005"
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=54,Chauve-souris argentée,S3,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=55,Chauve-souris cendrée,S3,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=56,Chauve-souris rousse,S3,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=57,Cougar,S1,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=60,Musaraigne de Gaspé,S1,G3,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=61,Musaraigne fuligineuse,"S5 (à la suite de son changement récent de rang de S4 à S5, cette espèce pourrait être retirée de la Liste des espèces de la faune vertébrée susceptibles d'être désignées menacées ou vulnérables)",G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=63,Petit polatouche,S3,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=64,Phoque commun des lacs des Loups Marins,S1,G5T2Q,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=65,Pipistrelle de l'Est,S2,G5,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=66,Rorqual à bosse,S3,G3,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=67,Rorqual bleu,S3,G3G4,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=68,Rorqual commun,S3,G3G4,susceptible d'être désigné espèce menacée ou vulnérable
http://www3.mffp.gouv.qc.ca/faune/especes/menacees/fiche.asp?noEsp=69,Couleuvre brune,S2,G5,susceptible d'être désigné espèce menacée ou vulnérable
